index,word1,word2,simi,dataset_name
611,misty,weather,0.48,men3000
530,parrot,wing,0.52,men3000
2787,bay,chipmunk,-0.72,men3000
49,flowers,petals,0.8400000000000001,men3000
1883,couple,old,-0.19999999999999996,men3000
1011,man,muscle,0.28,men3000
858,splash,washing,0.3999999999999999,men3000
1017,foliage,lily,0.28,men3000
48,mist,misty,0.8400000000000001,men3000
719,exhibition,sculpture,0.43999999999999995,men3000
2390,patio,sleep,-0.52,men3000
2652,collar,garbage,-0.64,men3000
2246,monkeys,oak,-0.43999999999999995,men3000
1159,foliage,ivy,0.24,men3000
632,eyes,lips,0.48,men3000
1338,coast,hill,0.1200000000000001,men3000
2127,grave,shore,-0.36,men3000
2602,bed,candy,-0.64,men3000
1436,living,old,0.040000000000000036,men3000
25,children,kids,0.8400000000000001,men3000
2965,cocktail,written,-0.84,men3000
219,burger,eat,0.6799999999999999,men3000
2818,crab,grave,-0.76,men3000
276,flowers,foliage,0.6799999999999999,men3000
2157,guy,tears,-0.4,men3000
1480,kitchen,porch,0.040000000000000036,men3000
1235,licking,lips,0.15999999999999992,men3000
1593,snow,sunshine,-0.040000000000000036,men3000
999,eat,strawberry,0.32000000000000006,men3000
2140,red,uniform,-0.36,men3000
361,guitar,music,0.6000000000000001,men3000
1457,beef,salad,0.040000000000000036,men3000
1993,lunch,walk,-0.28,men3000
1671,pregnancy,sitting,-0.07999999999999996,men3000
2334,downtown,field,-0.48,men3000
1650,craft,note,-0.07999999999999996,men3000
1835,dusk,hummingbird,-0.19999999999999996,men3000
1114,giraffe,lion,0.24,men3000
1846,cone,windmill,-0.19999999999999996,men3000
1317,jump,swimming,0.1200000000000001,men3000
2629,lighting,panda,-0.64,men3000
297,porch,roof,0.6399999999999999,men3000
1313,beard,blonde,0.1200000000000001,men3000
937,dragonfly,frog,0.32000000000000006,men3000
240,color,violet,0.6799999999999999,men3000
1432,dusk,misty,0.08000000000000007,men3000
582,bedroom,ceiling,0.52,men3000
2906,advertisement,pond,-0.8,men3000
1954,cold,ear,-0.28,men3000
1334,lake,scenery,0.1200000000000001,men3000
1729,mammals,pelican,-0.12,men3000
1672,frost,plant,-0.07999999999999996,men3000
350,fishing,sea,0.6399999999999999,men3000
2745,storm,sweet,-0.72,men3000
1220,cloud,sunny,0.19999999999999996,men3000
349,petals,tulip,0.6399999999999999,men3000
1518,family,living,0.0,men3000
2547,morning,tears,-0.6,men3000
643,summer,winter,0.48,men3000
2835,game,husky,-0.76,men3000
944,bloom,violet,0.32000000000000006,men3000
1462,flood,line,0.040000000000000036,men3000
657,dude,guy,0.48,men3000
2702,book,smoking,-0.6799999999999999,men3000
2893,parking,photographer,-0.8,men3000
1236,lunch,tea,0.15999999999999992,men3000
2467,interior,tall,-0.56,men3000
647,rain,sky,0.48,men3000
1125,red,white,0.24,men3000
1110,burger,cooking,0.24,men3000
2650,locked,mannequin,-0.64,men3000
1940,interior,skyscraper,-0.24,men3000
538,panorama,scenery,0.52,men3000
1048,jacket,skirt,0.28,men3000
2983,cheetah,phone,-0.88,men3000
2375,couple,posted,-0.52,men3000
2209,apartment,children,-0.4,men3000
2338,airplane,camera,-0.48,men3000
2162,ad,track,-0.4,men3000
801,mammals,rodents,0.3999999999999999,men3000
786,pink,yellow,0.43999999999999995,men3000
2694,dirt,gymnastics,-0.6799999999999999,men3000
2040,glass,road,-0.31999999999999995,men3000
788,black,purple,0.43999999999999995,men3000
2183,feet,outdoor,-0.4,men3000
2468,mallard,portrait,-0.56,men3000
2013,fountain,parade,-0.28,men3000
714,band,concert,0.48,men3000
803,shore,swim,0.3999999999999999,men3000
2008,pelican,toes,-0.28,men3000
2761,eat,underwater,-0.72,men3000
123,canine,dog,0.76,men3000
1808,foliage,pink,-0.16000000000000003,men3000
2286,colorful,lab,-0.43999999999999995,men3000
2147,bacon,sweet,-0.36,men3000
618,orange,purple,0.48,men3000
406,city,metro,0.6000000000000001,men3000
1157,floor,porch,0.24,men3000
1068,grey,pink,0.28,men3000
1133,bathroom,ceiling,0.24,men3000
2905,canal,silhouette,-0.8,men3000
497,misty,rain,0.56,men3000
1061,insects,lizard,0.28,men3000
325,bay,beach,0.6399999999999999,men3000
342,fog,misty,0.6399999999999999,men3000
2356,dark,sand,-0.48,men3000
2266,diamond,stencil,-0.43999999999999995,men3000
782,dripping,water,0.43999999999999995,men3000
2367,belly,drawn,-0.52,men3000
299,colour,rainbow,0.6399999999999999,men3000
1461,apartment,pool,0.040000000000000036,men3000
2373,ball,curled,-0.52,men3000
303,flamingo,hummingbird,0.6399999999999999,men3000
1237,berry,dessert,0.15999999999999992,men3000
2571,track,yellow,-0.6,men3000
1656,ceiling,door,-0.07999999999999996,men3000
664,bay,harbour,0.48,men3000
1690,sunk,sunset,-0.07999999999999996,men3000
220,fruit,raspberry,0.6799999999999999,men3000
1626,old,town,-0.040000000000000036,men3000
1188,blonde,wig,0.19999999999999996,men3000
1455,black,painted,0.040000000000000036,men3000
